pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.18	0.140415	0.219918	0.100235	0.195593	0.0972727
0.1	0.18	0.0767019	0.573879	0.0868035	0.0895188	0.0487879
0.1	0.18	0.117127	0.349293	0.133548	0.23714	0.0875758
0.1	0.18	0.0894552	0.503027	0.105962	0.133642	0.060404
0.1	0.18	0.111044	0.38309	0.123681	0.202753	0.080202
0.1	0.18	0.153153	0.149151	0.152461	0.373255	0.126061
0.1	0.18	0.111321	0.381551	0.105904	0.166193	0.0764646
0.1	0.18	0.10579	0.412279	0.0814217	0.114323	0.0677778
0.1	0.18	0.119741	0.33477	0.0992662	0.164785	0.0813131
0.1	0.18	0.111186	0.382299	0.120139	0.195361	0.0794949
0.1	0.18	0.136599	0.241115	0.128538	0.262598	0.102424
0.1	0.18	0.116514	0.352702	0.105144	0.172365	0.080202
0.1	0.18	0.108124	0.399313	0.0971102	0.144786	0.0723232
0.1	0.18	0.0902189	0.498784	0.151677	0.218255	0.069596
0.1	0.18	0.11841	0.342167	0.151196	0.285152	0.0936364
0.1	0.18	0.0970983	0.460565	0.0962001	0.128513	0.0642424
0.1	0.18	0.13228	0.265109	0.118794	0.229013	0.0959596
0.1	0.18	0.12575	0.301389	0.0955714	0.16509	0.0849495
0.1	0.18	0.100054	0.444147	0.135152	0.205907	0.0740404
0.1	0.18	0.114065	0.366306	0.146443	0.262476	0.0884848
0.1	0.18	0.0949373	0.472571	0.109755	0.148337	0.0650505
0.1	0.18	0.097715	0.457139	0.115495	0.163062	0.0681818
0.1	0.18	0.120253	0.33193	0.0920038	0.150651	0.080101
0.1	0.18	0.0912152	0.493249	0.0969475	0.121891	0.060202
0.1	0.18	0.123059	0.316337	0.112563	0.198625	0.0869697
0.1	0.18	0.102562	0.430211	0.0913677	0.127401	0.0672727
0.1	0.18	0.11125	0.381942	0.11179	0.177977	0.0776768
0.1	0.18	0.134931	0.250383	0.114058	0.221535	0.0967677
0.1	0.18	0.159019	0.116561	0.139889	0.343182	0.126364
0.1	0.18	0.0932384	0.482009	0.0773688	0.0948259	0.0585859
0.1	0.18	0.0862596	0.52078	0.132652	0.173049	0.0626263
0.1	0.18	0.107603	0.402204	0.122266	0.193495	0.0771717
0.1	0.18	0.117225	0.348748	0.085001	0.133391	0.0764646
0.1	0.18	0.119024	0.338758	0.111751	0.190328	0.0836364
0.1	0.18	0.114066	0.366298	0.0922276	0.143327	0.0756566
0.1	0.18	0.138965	0.22797	0.0957209	0.182793	0.0949495
0.1	0.18	0.116402	0.353323	0.119048	0.202088	0.0833333
0.1	0.18	0.0981803	0.454554	0.124964	0.181746	0.070404
0.1	0.18	0.0910973	0.493904	0.0877405	0.107712	0.0586869
0.1	0.18	0.118361	0.34244	0.135007	0.243225	0.0889899
0.1	0.18	0.0880181	0.511011	0.129068	0.170147	0.0633333
0.1	0.18	0.102268	0.431844	0.156576	0.259038	0.0810101
0.1	0.18	0.0984573	0.453015	0.0794397	0.10332	0.0624242
0.1	0.18	0.102522	0.430432	0.112993	0.166294	0.0713131
0.1	0.18	0.0981803	0.454554	0.0922973	0.12348	0.0643434
0.1	0.18	0.122854	0.317476	0.0812472	0.132425	0.079697
0.1	0.18	0.0963743	0.464587	0.114409	0.158862	0.0669697
0.1	0.18	0.0909183	0.494898	0.0944355	0.117613	0.059596
0.1	0.18	0.105583	0.413427	0.0939931	0.135795	0.069899
0.1	0.18	0.0939578	0.478012	0.0861285	0.108628	0.060404
0.1	0.18	0.106529	0.408173	0.0957524	0.140184	0.0709091
0.1	0.18	0.105978	0.411234	0.124363	0.194925	0.0763636
0.1	0.18	0.114578	0.363458	0.0982646	0.155698	0.0772727
